"Date","CPI(UK)","France","Germany","EU27","US-HICP"
"Mar 2014","1.6","0.8","0.7","0.4","1.2"
"Apr 2014","1.8","0.8","1.1","0.6","1.8"
"May 2014","1.5","0.8","0.7","0.5","2.0"
"Jun 2014","1.9","0.6","0.9","0.5","1.9"
"Jul 2014","1.6","0.6","0.7","0.4","1.8"
"Aug 2014","1.5","0.5","0.8","0.3","1.4"
"Sep 2014","1.2","0.4","0.8","0.3","1.4"
"Oct 2014","1.3","0.5","0.7","0.3","1.3"
"Nov 2014","1.0","0.4","0.5","0.3","0.9"
"Dec 2014","0.5","0.1","0.1","-0.2","0.2"
"Jan 2015","0.3","-0.4","-0.5","-0.6","-0.9"
"Feb 2015","0.0","-0.3","-0.2","-0.3","-0.9"
"Mar 2015","0.0","0.0","0.3","-0.1","-0.9"
"Apr 2015","-0.1","0.1","1.0","0.1","-1.1"
"May 2015","0.1","0.3","1.6","0.5","-0.9"
"Jun 2015","0.0","0.3","1.1","0.4","-0.8"
"Jul 2015","0.1","0.2","1.3","0.4","-0.7"
"Aug 2015","0.0","0.1","1.1","0.3","-0.7"
"Sep 2015","-0.1","0.1","0.8","0.1","-1.0"
"Oct 2015","-0.1","0.2","1.2","0.3","-0.8"
"Nov 2015","0.1","0.1","0.2","0.1","-0.3"
"Dec 2015","0.2","0.3","0.2","0.2","0.0"
"Jan 2016","0.3","0.3","0.4","0.3","0.8"
"Feb 2016","0.3","-0.1","-0.1","-0.2","0.3"
"Mar 2016","0.5","-0.1","0.1","-0.1","0.1"
"Apr 2016","0.3","-0.1","-0.3","-0.3","0.5"
"May 2016","0.3","0.1","-0.1","-0.2","0.3"
"Jun 2016","0.5","0.3","0.1","0.0","0.2"
"Jul 2016","0.6","0.4","0.3","0.1","0.0"
"Aug 2016","0.6","0.4","0.3","0.2","0.3"
"Sep 2016","1.0","0.5","0.6","0.3","0.8"
"Oct 2016","0.9","0.5","0.7","0.5","1.0"
"Nov 2016","1.2","0.7","0.8","0.6","1.1"
"Dec 2016","1.6","0.8","1.6","1.1","1.6"
"Jan 2017","1.8","1.6","1.7","1.7","2.1"
"Feb 2017","2.3","1.4","2.1","1.9","2.5"
"Mar 2017","2.3","1.4","1.5","1.5","2.0"
"Apr 2017","2.7","1.4","2.0","1.8","1.8"
"May 2017","2.9","0.9","1.3","1.4","1.4"
"Jun 2017","2.6","0.8","1.7","1.3","1.1"
"Jul 2017","2.6","0.8","1.7","1.4","1.3"
"Aug 2017","2.9","1.0","1.9","1.6","1.5"
"Sep 2017","3.0","1.1","1.9","1.6","1.9"
"Oct 2017","3.0","1.2","1.5","1.5","1.7"
"Nov 2017","3.1","1.2","1.7","1.6","1.9"
"Dec 2017","3.0","1.2","1.5","1.4","1.8"
"Jan 2018","3.0","1.5","1.5","1.4","1.7"
"Feb 2018","2.7","1.3","1.2","1.2","1.9"
"Mar 2018","2.5","1.7","1.7","1.4","2.1"
"Apr 2018","2.4","1.8","1.3","1.3","2.2"
"May 2018","2.4","2.3","2.5","2.0","2.6"
"Jun 2018","2.4","2.3","2.1","2.0","2.7"
"Jul 2018","2.5","2.6","2.2","2.2","2.8"
"Aug 2018","2.7","2.6","2.1","2.1","2.5"
"Sep 2018","2.4","2.5","2.2","2.1","2.0"
"Oct 2018","2.4","2.5","2.6","2.3","2.3"
"Nov 2018","2.3","2.2","2.2","1.9","1.8"
"Dec 2018","2.1","1.9","1.7","1.6","1.5"
"Jan 2019","1.8","1.4","1.7","1.4","1.1"
"Feb 2019","1.9","1.6","1.7","1.6","1.0"
"Mar 2019","1.9","1.3","1.4","1.6","1.4"
"Apr 2019","2.1","1.5","2.1","1.9","1.6"
"May 2019","2.0","1.1","1.3","1.5","1.3"
"Jun 2019","2.0","1.4","1.5","1.5","1.1"
"Jul 2019","2.1","1.3","1.1","1.3","1.4"
"Aug 2019","1.7","1.3","1.0","1.3","1.3"
"Sep 2019","1.7","1.1","0.9","1.1","1.2"
"Oct 2019","1.5","0.9","0.9","1.0","1.3"
"Nov 2019","1.5","1.2","1.2","1.3","1.7"
"Dec 2019","1.3","1.6","1.5","1.6","2.0"
"Jan 2020","1.8","1.7","1.6","1.7","2.2"
"Feb 2020","1.7","1.6","1.7","1.6","2.1"
"Mar 2020","1.5","0.8","1.3","1.1","1.0"
"Apr 2020","0.8","0.4","0.8","0.6","-0.5"
"May 2020","0.5","0.4","0.5","0.5","-0.7"
"Jun 2020","0.6","0.2","0.8","0.7","0.0"
"Jul 2020","1.0","0.9","0.0","0.8","0.5"
"Aug 2020","0.2","0.2","-0.1","0.4","0.9"
"Sep 2020","0.5","0.0","-0.4","0.2","1.0"
"Oct 2020","0.7","0.1","-0.5","0.2","0.8"
"Nov 2020","0.3","0.2","-0.7","0.2","0.9"
"Dec 2020","0.6","0.0","-0.7","0.2","1.1"
"Jan 2021","0.7","0.8","1.6","1.2","1.2"
"Feb 2021","0.4","0.8","1.6","1.3","1.6"
"Mar 2021","0.7","1.4","2.0","1.7","2.8"
"Apr 2021","1.5","1.6","2.1","2.0","4.8"
"May 2021","2.1","1.8","2.4","2.3","5.9"
"Jun 2021","2.5","1.9","2.1","2.2","6.3"
"Jul 2021","2.0","1.5","3.1","2.5","6.2"
"Aug 2021","3.2","2.4","3.4","3.2","6.1"
"Sep 2021","3.1","2.7","4.1","3.6","6.1"
"Oct 2021","4.2","3.2","4.6","4.4","7.1"
"Nov 2021","5.1","3.4","6.0","5.2","7.8"
"Dec 2021","5.4","3.4","5.7","5.3","8.0"
"Jan 2022","5.5","3.3","5.1","5.6","8.5"
"Feb 2022","6.2","4.2","5.5","6.2","8.9"
"Mar 2022","7.0","5.1","7.6","7.8","9.8"
"Apr 2022","9.0","5.4","7.8","8.1","9.3"
"May 2022","9.1","5.8","8.7","8.8","9.6"
"Jun 2022","9.4","6.5","8.2","9.6","10.1"
"Jul 2022","10.1","6.8","8.5","9.8","9.3"
"Aug 2022","9.9","6.6","8.8","10.1","8.8"
"Sep 2022","10.1","6.2","10.9","10.9","8.7"
"Oct 2022","11.1","7.1","11.6","11.5","8.0"
"Nov 2022","10.7","7.1","11.3","11.1","7.1"
"Dec 2022","10.5","6.7","9.6","10.4","6.1"
"Jan 2023","10.1","7.0","9.2","10.0","6.0"
"Feb 2023","10.4","7.3","9.3","9.9","5.3"
"Mar 2023","10.1","6.7","7.8","8.3","3.9"
"Apr 2023","8.7","6.9","7.6","8.1","3.8"
"May 2023","8.7","6.0","6.3","7.1","2.7"
"Jun 2023","7.9","5.3","6.8","6.4","1.4"
"Jul 2023","6.8","5.1","6.5","6.1","1.7"
"Aug 2023","6.7","5.7","6.4","5.9","2.5"
"Sep 2023","6.7","5.7","4.3","4.9","2.6"
"Oct 2023","4.6","4.5","3.0","3.6","2.1"
"Nov 2023","3.9","3.9","2.3","3.1","2.1"
"Dec 2023","4.0","4.1","3.8","3.4","2.5"
"Jan 2024","4.0","3.4","3.1","3.1","2.3"
"Feb 2024","3.4","3.2","2.7","2.8","2.2"
"Mar 2024","3.2","2.4","2.3","",""
